serial,team_serial,player_serial,team,team_,player,birth_weekday,birth_monthday,birth_month,birth_year, age ,club,height,foot,international_matches,goals,debut,market_value_euro,market_value ,value,position,is_foreigner,team_country,squad_size,average_age,foreigners,confederation,FIFA_world_ranking,total_value_euro,total_value, team_value 
25,1,25,Algeria,Algeria,Baghdad Bounedjah,Friday,24,11,1991,29,Al-Sadd SC,184,right,47,22,"May 25, 2013",€6.00m , $6.8m ,6000000,Centre-Forward,1,Qatar,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
26,1,26,Algeria,Algeria,Islam Slimani,Friday,18,6,1988,33,Olympique Lyon,188,right,78,38,"May 26, 2012",€3.00m, $3.4m ,3000000,Centre-Forward,1,France,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
27,1,27,Algeria,Algeria,Mohamed El Amine Amoura,Friday,9,5,2000,21,FC Lugano,170,-,2,,"Oct 8, 2021",€1.20m , $1.4m ,1200000,Centre-Forward,1,Switzerland,27,27.4,26,CAF,30,€200.40m,$200.4m,"200,400,000"
28,2,1,Bahrain,Bahrain,Ebrahim Lutfalla,Sunday,24,9,1992,29,Al Khalidiya SC,182,-,4,,"Nov 7, 2020",€175Th. ," $198,000 ",175000,Goalkeeper,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
29,2,2,Bahrain,Bahrain,Sayed Shubbar Alawi,Monday,11,8,1985,36,Al Khalidiya SC,,right,24,,"Mar 23, 2009",€100Th. ," $113,000 ",100000,Goalkeeper,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
30,2,3,Bahrain,Bahrain,Ammar Ahmed,Monday,10,2,1999,22,Manama Club,189,-,,,-,_, - ,,Goalkeeper,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
31,2,4,Bahrain,Bahrain,Sayed Baqer,Tuesday,14,4,1994,27,Al-Riffa SC,185,-,24,,"Oct 7, 2016",€250Th. ," $283,000 ",250000,Centre-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
32,2,5,Bahrain,Bahrain,Waleed Al-Hayam,Saturday,3,2,1991,30,Al-Muharraq SC,,left,75,,"Dec 25, 2010",€250Th. ," $283,000 ",250000,Centre-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
33,2,6,Bahrain,Bahrain,Abdulla Al Hazaa,Monday,19,7,1990,31,East Riffa Club,,-,52,1,"Sep 19, 2010",€225Th. ," $254,000 ",225000,Centre-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
34,2,7,Bahrain,Bahrain,Ahmed Nabeel,Friday,25,8,1995,26,Manama Club,,-,8,,"Nov 12, 2020",€175Th.," $198,000 ",175000,Centre-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
35,2,8,Bahrain,Bahrain,Rashed Al Hooti,Sunday,24,12,1989,31,Al-Najma,,-,69,,"Sep 19, 2010",€150Th.," $170,000 ",150000,Left-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
36,2,9,Bahrain,Bahrain,Sayed Isa,Wednesday,7,8,1994,27,Al-Riffa SC,179,right,43,3,"Oct 7, 2016",€275Th. ," $311,000 ",275000,Right-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
37,2,10,Bahrain,Bahrain,Abbas Ayyad,Sunday,11,5,1987,34,Al-Ahli Manama,180,right,6,,-,€75Th.," $85,000 ",75000,Right-Back,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
38,2,11,Bahrain,Bahrain,Ali Haram,Thursday,11,12,1988,32,Al-Riffa SC,184,-,25,2,"Oct 12, 2012",€175Th.," $198,000 ",175000,Defensive Midfield,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
39,2,12,Bahrain,Bahrain,Mohamed Abdulwahab,Friday,13,11,1989,31,Hidd SCC,,-,13,,"Jun 29, 2012",€150Th. ," $170,000 ",150000,Defensive Midfield,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
40,2,13,Bahrain,Bahrain,Abbas Al Asfoor,Friday,2,3,1999,22,Al Shabab Club,,right,5,,"May 23, 2021",€175Th.," $198,000 ",175000,Right Midfield,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
41,2,14,Bahrain,Bahrain,Mohamed Marhoon,Wednesday,12,2,1998,23,Al-Riffa SC,176,-,24,8,"Sep 6, 2018",€300Th.," $339,000 ",300000,Left Midfield,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
42,2,15,Bahrain,Bahrain,Jasim Al-Shaikh,Thursday,1,2,1996,25,Al-Riffa SC,,-,33,3,"Mar 22, 2018",€450Th.," $509,000 ",450000,Attacking Midfield,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
43,2,16,Bahrain,Bahrain,Abdulwahab Al Malood,Friday,7,6,1990,31,Al-Muharraq SC,,-,58,5,"Sep 19, 2010",€200Th. ," $226,000 ",200000,Attacking Midfield,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
44,2,17,Bahrain,Bahrain,Sayed Dhiya Saeed,Saturday,17,7,1992,29,Al Khalidiya SC,176,left,91,7,"Sep 6, 2011",€500Th. ," $565,000 ",500000,Left Winger,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
45,2,18,Bahrain,Bahrain,Komail Hasan Al-Aswad,Tuesday,8,4,1994,27,Al-Riffa SC,169,left,64,8,"May 30, 2015",€550Th. ," $622,000 ",550000,Right Winger,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
46,2,19,Bahrain,Bahrain,Ali Madan,Saturday,30,11,1995,25,Al-Orooba,167,right,49,9,"Sep 1, 2016",€325Th. ," $367,000 ",325000,Right Winger,1,UAE,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
47,2,20,Bahrain,Bahrain,Mohamed Al-Romaihi,Tuesday,9,9,1990,31,East Riffa Club,186,right,37,16,"Sep 19, 2010",€325Th.," $367,000 ",325000,Centre-Forward,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
48,2,21,Bahrain,Bahrain,Mahdi Al-Humaidan,Wednesday,19,5,1993,28,Al Khalidiya SC,175,right,22,1,"Nov 19, 2018",€250Th.," $283,000 ",250000,Centre-Forward,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
49,2,22,Bahrain,Bahrain,Hazaa Ali,Monday,1,1,1996,25,Al-Riffa SC,,-,1,,"May 28, 2021",€200Th. ," $226,000 ",200000,Centre-Forward,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
50,2,23,Bahrain,Bahrain,Mahdi Abduljabbar Darwish,Sunday,25,6,1991,30,Manama Club,,right,19,5,"Feb 5, 2016",€150Th. ," $170,000 ",150000,Centre-Forward,0,-,23,28.9,1,AFC,91,€5.43m,$5.4m,"5,430,000"
51,3,1,Comoros,Comoros,Ali Ahamada,Thursday,19,8,1991,30,Without Club,189,right,24,,"Mar 24, 2016",€200Th. ," $226,000 ",200000,Goalkeeper,1,-,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
52,3,2,Comoros,Comoros,Salim Ben Boina,Monday,19,7,1991,30,US Marseille Endoume,189,right,12,,"Jun 13, 2015",€100Th. ," $113,000 ",100000,Goalkeeper,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
53,3,3,Comoros,Comoros,Moyadh Ousseni,Monday,2,4,1993,28,Fréjus-Saint-Raphaël FC,182,right,,,-,_, - ,,Goalkeeper,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
54,3,4,Comoros,Comoros,Younn Zahary,Wednesday,8,10,1998,23,SO Cholet,193,right,1,,"Oct 12, 2019",€600Th. ," $678,000 ",600000,Centre-Back,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
55,3,5,Comoros,Comoros,El Omar Fardi,Friday,22,4,2002,19,Olympique Marseille U19,184,-,1,,"Jun 24, 2021",_, - ,,Centre-Back,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
56,3,6,Comoros,Comoros,Saïd Bakari,Thursday,22,9,1994,27,RKC Waalwijk,178,right,14,,"Oct 6, 2017",€500Th.," $565,000 ",500000,Right-Back,1,Netherlands,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
57,3,7,Comoros,Comoros,Kassim Abdallah,Wednesday,9,4,1987,34,Marignane Gignac FC,185,right,27,1,"Aug 14, 2007",€400Th. ," $452,000 ",400000,Right-Back,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
58,3,8,Comoros,Comoros,Benjaloud Youssouf,Tuesday,11,2,1994,27,LB Châteauroux,176,right,22,1,"Oct 7, 2015",€300Th. ," $339,000 ",300000,Right-Back,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
59,3,9,Comoros,Comoros,Kassim M'Dahoma,Thursday,26,1,1997,24,US Avranches,182,right,12,,"Jun 4, 2017",€200Th. ," $226,000 ",200000,Right-Back,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
60,3,10,Comoros,Comoros,Mohamed Abdallah,Friday,11,4,1999,22,FC Stade-Lausanne-Ouchy,167,right,11,,"Jun 4, 2017",€150Th. ," $170,000 ",150000,Right-Back,1,Switzerland,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
61,3,11,Comoros,Comoros,Kassim Ahamada,Sunday,18,4,1992,29,Without Club,177,-,7,,"Mar 28, 2011",€100Th. ," $113,000 ",100000,Right-Back,1,-,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
62,3,12,Comoros,Comoros,Akim Djaha,Monday,14,9,1998,23,FC Martigues,,right,,,-,_, - ,,Right-Back,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
63,3,13,Comoros,Comoros,Faouz Faidine Attoumane,Thursday,4,1,1994,27,FC Nouadhibou,163,-,17,,"Jun 21, 2015",_, - ,,Midfield,1,Mauritania,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
64,3,14,Comoros,Comoros,Fouad Bachirou,Wednesday,15,4,1990,31,Omonia Nicosia,169,right,18,,"Mar 5, 2014",€600Th.," $678,000 ",600000,Defensive Midfield,1,Cyprus,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
65,3,15,Comoros,Comoros,Rafidine Abdullah,Thursday,15,1,1994,27,FC Stade-Lausanne-Ouchy,179,right,10,,"Nov 11, 2016",€400Th. ," $452,000 ",400000,Defensive Midfield,1,Switzerland,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
66,3,16,Comoros,Comoros,Nakibou Aboubakari,Monday,10,3,1993,28,FC Sète 34,,right,6,,"Nov 11, 2011",€300Th. ," $339,000 ",300000,Defensive Midfield,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
67,3,17,Comoros,Comoros,Iyad Mohamed,Tuesday,5,3,2001,20,AJ Auxerre,191,left,1,,"Sep 1, 2021",€100Th. ," $113,000 ",100000,Defensive Midfield,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
68,3,18,Comoros,Comoros,Youssouf M'Changama,Wednesday,29,8,1990,31,EA Guingamp,175,left,38,8,"Oct 9, 2010",€700Th. ," $791,000 ",700000,Central Midfield,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
69,3,19,Comoros,Comoros,Yacine Bourhane,Monday,30,9,1998,23,Go Ahead Eagles,190,left,3,,"Oct 11, 2020",€600Th. ," $678,000 ",600000,Central Midfield,1,Netherlands,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
70,3,20,Comoros,Comoros,Nadjim Abdou,Monday,13,7,1984,37,FC Martigues,178,right,31,,"Oct 9, 2010",€250Th. ," $283,000 ",250000,Central Midfield,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
71,3,21,Comoros,Comoros,Mohamed Youssouf,Sunday,26,3,1988,33,AC Ajaccio,168,left,25,1,"Jun 5, 2011",€250Th.," $283,000 ",250000,Right Midfield,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
72,3,22,Comoros,Comoros,Abdourahim Moina,Friday,17,12,2000,20,Without Club,193,-,1,,"Jun 24, 2021",€300Th. ," $339,000 ",300000,Attacking Midfield,0,-,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
73,3,23,Comoros,Comoros,Loutfi Daoudou,Friday,28,9,1997,24,AS Furiani-Agliani,,-,,,-,_, - ,,Attack,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
74,3,24,Comoros,Comoros,Faïz Selemani,Saturday,14,11,1993,27,KV Kortrijk,182,right,11,1,"Nov 11, 2017",€2.20m , $2.5m ,2200000,Left Winger,1,Romania,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
75,3,25,Comoros,Comoros,Ali M'Madi,Thursday,21,4,1990,31,SAS Epinal,178,right,28,,"Oct 9, 2010",€300Th.," $339,000 ",300000,Left Winger,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
76,3,26,Comoros,Comoros,Ahmed Mogni,Friday,10,10,1991,30,Annecy FC,175,right,11,,"Jun 13, 2015",€300Th.," $339,000 ",300000,Left Winger,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
77,3,27,Comoros,Comoros,El Fardou Ben,Tuesday,10,6,1989,32,Red Star Belgrade,174,left,24,10,"Mar 5, 2014",€2.50m, $2.8m ,2500000,Right Winger,1, Serbia,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
78,3,28,Comoros,Comoros,Nasser Chamed,Friday,4,10,1993,28,Gaz Metan Medias,174,right,20,1,"Jun 13, 2015",€300Th. ," $339,000 ",300000,Right Winger,1,Romania,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
79,3,29,Comoros,Comoros,Mohamed M'Changama,Monday,9,6,1987,34,Racing Besançon,187,right,15,2,"Oct 9, 2010",€300Th.," $339,000 ",300000,Second Striker,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
80,3,30,Comoros,Comoros,Faiz Mattoir,Sunday,12,7,2000,21,SO Cholet,169,right,3,1,"Oct 11, 2020",€400Th. ," $452,000 ",400000,Centre-Forward,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
81,3,31,Comoros,Comoros,Moussa Djoumoi,Friday,16,7,1999,22,AS Saint-Priest,178,both,,,-,_, - ,,Centre-Forward,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
82,3,32,Comoros,Comoros,Ibrahim Madi,Wednesday,19,5,1998,23,FC Martigues,182,right,3,,"Sep 10, 2019",_, - ,,Centre-Forward,1,France,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
83,3,33,Comoros,Comoros,Ibroihim Youssouf,Monday,6,5,1994,27,Volcan Club de Moroni,,-,20,6,"Sep 6, 2019",_, - ,,Centre-Forward,0,-,33,27.5,31,CAF,132,€12.35m,$12.4m,"12,350,000"
84,4,1,Djibouti,Djibouti,Yahya Youssouf,Saturday, -   ,1,-,0,-,,-,,,-,_, - ,,Goalkeeper,1,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
85,4,2,Djibouti,Djibouti,Nasradine Abdi Aptidon,Wednesday,5,6,1994,27,AS Port,,-,,,-,_, - ,,Goalkeeper,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
86,4,3,Djibouti,Djibouti,Innocent Mbonihankuye,Tuesday,5,11,1996,24,AS Esperance Sportive Djibouti,185,-,9,,"Sep 4, 2019",_, - ,,Goalkeeper,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
87,4,4,Djibouti,Djibouti,Bilal Ahmed Hassan,Thursday,21,4,1993,28,Gendarmerie Nationale FC,,-,3,,-,_, - ,,Goalkeeper,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
88,4,5,Djibouti,Djibouti,Daoud Wais,Tuesday,25,7,1988,33,Djibouti Télécom,,-,8,1,-,_, - ,,Defence,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
89,4,6,Djibouti,Djibouti,Abass Fouad Abdourahman,Thursday,1,11,1999,21,Djibouti Télécom,,-,,,-,_, - ,,Defence,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
90,4,7,Djibouti,Djibouti,Mohamed Bourhan Mohamed,Tuesday,18,5,1998,23,AS Port,,-,3,,"Jun 12, 2015",_, - ,,Defence,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
91,4,8,Djibouti,Djibouti,Fouad Moussa Robleh,Saturday,28,4,1993,28,AS Arta/Solar7,167,-,10,1,"Jul 26, 2019",_, - ,,Defence,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
92,4,9,Djibouti,Djibouti,Aptidon Daher,Saturday, -   ,1,-,0,-,,-,,,-,_, - ,,Centre-Back,1,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
93,4,10,Djibouti,Djibouti,Youssouf Batio Mohamed,Wednesday,28,11,1998,22,Guelleh Batal Djibouti,,-,11,,"Mar 24, 2016",_, - ,,Centre-Back,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
94,4,11,Djibouti,Djibouti,Moussa Hamadou Araita,Monday,24,4,1997,24,FC Dikhil,,-,,,-,_, - ,,Centre-Back,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
95,4,12,Djibouti,Djibouti,Yabe Siad,Thursday,12,3,1998,23,AS Arta/Solar7,,-,6,,"Oct 9, 2019",_, - ,,Left-Back,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
96,4,13,Djibouti,Djibouti,Ali Youssouf Farada,Friday,25,8,1995,26,AS Port,,-,,,-,_, - ,,Right-Back,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
97,4,14,Djibouti,Djibouti,Ahmed Mohamed Aden,Wednesday,4,12,1990,30,AS Arta/Solar7,,-,,,-,_, - ,,midfield,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
98,4,15,Djibouti,Djibouti,Omar Abdallah,Wednesday,30,10,2002,18,-,,-,,,-,_, - ,,midfield,1,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
99,4,16,Djibouti,Djibouti,Abdi Idleh Hamza,Thursday,16,12,1991,29,FC Dikhil,,-,1,,"Mar 28, 2017",_, - ,,midfield,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
100,4,17,Djibouti,Djibouti,Sabri Ali Mohamed,Tuesday,20,9,2000,21,FC Dikhil,,-,,,-,_, - ,,midfield,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
101,4,18,Djibouti,Djibouti,Haroun Kadamy Youssouf,Friday,11,4,1998,23,UR La Louvière Centre,,-,,,-,_, - ,,midfield,1,Belgium,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
102,4,19,Djibouti,Djibouti,Doualeh Mahamoud Elabeh,Tuesday,11,11,1991,29,AS Arta/Solar7,,-,4,,-,_, - ,,midfield,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
103,4,20,Djibouti,Djibouti,Radwan Aouad,Friday,4,10,1997,24,-,,-,,,-,_, - ,,midfield,1,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
104,4,21,Djibouti,Djibouti,Youssouf Abdi Ahmed,Saturday,11,10,1997,24,AS Esperance Sportive Djibouti,182,-,5,,"Jul 26, 2019",_, - ,,midfield,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
105,4,22,Djibouti,Djibouti,Warsama Hassan,Wednesday,17,3,1999,22,Sliema Wanderers,170,right,12,1,"Sep 4, 2019",€25Th.," $28,000 ",25000,Defensive Midfield,1,Malta,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
106,4,23,Djibouti,Djibouti,Anas Farah Ali,Saturday,3,3,2000,21,Egersunds IK,181,right,,,-,€50Th.," $57,000 ",50000,Attacking Midfield,1,Norway,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
107,4,24,Djibouti,Djibouti,Mahdi Houssein Mahabeh,Tuesday,20,12,1995,25,Djibouti Télécom,,-,14,6,"Jun 3, 2016",_, - ,,Attack,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
108,4,25,Djibouti,Djibouti,Ahmed Youssouf Omar,Saturday,1,9,1998,23,AS Port,,-,,,-,_, - ,,Attack,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
109,4,26,Djibouti,Djibouti,Kenedid Abdoulaziz Mohamed,Saturday, -   ,1,-,0,FC Dikhil,,-,,,-,_, - ,,Attack,0,-,28,25.6,7,CAF,188,€75Th.,"$75,000","75,000"
